brand,model,first_registration,kilometers,engine,transmission
Volkswagen,Passat ALLTRACK 4 MMOTION DSG,2014,220000,diesel,avtomatski

Volkswagen,Golf Variant 1.5 TSI ACT BMT ...,2017,65000,bencinski,ročni

Volkswagen,Polo Limuzina 1.4,2001,219000,bencinski,ročni

Volkswagen,CC 4motion 2.0 TDI Highline D...,2013,209900,diesel,avtomatski

Volkswagen,Touran 2.0 TDI Highline DSG F...,2006,267110,diesel,avtomatski

Volkswagen,Golf Plus Sportline 1.6,2005,127000,bencinski,ročni

Volkswagen,Passat Variant 1.9 TDI Highli...,2003,346583,diesel,ročni

Volkswagen,Passat Variant 1.9 TDI Trendl...,2008,239100,diesel,ročni

Volkswagen,Golf 1.9 TDI.KLIMA,2000,,diesel,ročni

Volkswagen,Sharan 2.0 TDI-XENON-LED-NAVI...,2014,175000,diesel,ročni

Volkswagen,Golf Comfortline 1.6 FSI,2003,189180,bencinski,ročni

Volkswagen,Bora 1.9 TDI Comfortline,2001,362000,diesel,ročni

Volkswagen,Touran 1.9 TDI Highline,2005,,diesel,ročni

Volkswagen,Multivan 4-Motion 2.0TDI DSG ...,2016,142200,diesel,avtomatski

Volkswagen,Passat Variant 1.9 TDI Comfor...,2008,256000,diesel,ročni

Volkswagen,Polo 1.2 Trendline,2006,143000,bencinski,ročni

Volkswagen,Passat Variant 4motion 2.0 TD...,2006,265000,diesel,ročni

Volkswagen,Polo 1.2 Comfortline,2002,243000,bencinski,ročni

Volkswagen,Polo 1.4,2001,192176,bencinski,ročni

Volkswagen,Passat CC 2.0 TDI-XENON-USNJE...,2010,206000,diesel,ročni

Volkswagen,Golf 2.0 GTI LED+Biksenon 2x ...,2015,77500,bencinski,ročni

Volkswagen,Golf Basis 1.9 SDI,2003,326060,diesel,ročni

Volkswagen,Tiguan 4motion 2.0 TDI BMT R-...,2019,4800,diesel,avtomatski

Volkswagen,Golf Comfortline 1.6 KLIMA UG...,1999,200000,bencinski,ročni

Volkswagen,Golf Variant Comfortline 1.9 ...,2008,246000,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI BMT Co...,2015,186600,diesel,avtomatski

Volkswagen,Touran 1.4 TSI Comfortline,2011,128000,bencinski,ročni

Volkswagen,Hroč ,1976,41000,bencinski,ročni

Volkswagen,Caddy 2.0 TDI Comfortline TEM...,2016,55500,diesel,ročni

Volkswagen,Golf Sportsvan 1.6 TDI BMT Co...,2015,120638,diesel,ročni

Volkswagen,Touran 2.0 TDI DPF Highline,2008,267500,diesel,ročni

Volkswagen,Touareg 2.5 R5 TDI Tiptronic,2006,298700,diesel,avtomatski

Volkswagen,Passat Variant 1.6 TDI BMT Tr...,2015,209000,diesel,ročni

Volkswagen,Polo POLO 1.4TDI,2005,223000,diesel,ročni

Volkswagen,Golf Basis 1.9 SDI,1999,240000,diesel,ročni

Volkswagen,Golf 2.0T FSI GTI + NAKUP BRE...,2006,236585,bencinski,ročni

Volkswagen,Golf Plus Comfortline 1.6,2008,140000,bencinski,ročni

Volkswagen,Passat Variant 1.9 TDI Basis,2003,320000,diesel,ročni

Volkswagen,Sharan 4motion 2.0 TDI-4X4-NA...,2015,171900,diesel,ročni

Volkswagen,Golf ,2000,216570,bencinski,ročni

Volkswagen,Golf Plus Comfortline 1.9 TDI...,2008,251000,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI Sportl...,2005,311000,diesel,ročni

Volkswagen,Golf Variant Comforline 1.9 T...,2008,360000,diesel,ročni

Volkswagen,Golf Basis 1.4,2001,282000,bencinski,ročni

Volkswagen,Golf 1.9 TDI EDITION,2002,278000,diesel,ročni

Volkswagen,Touran 2.0 TDI BlueMotion Tec...,2014,181000,diesel,ročni

Volkswagen,Passat Variant 4motion 2.0 TD...,2009,304000,diesel,ročni

