brand,model,first_registration,kilometers,engine,transmission
Volkswagen,Golf 4motion 1.9 TDI 4x4 ,2005,,diesel,ročni

Volkswagen,Polo 1.4 TDI KLJUKA,2007,240000,diesel,ročni

Volkswagen,Passat Variant 4motion 2.0 TD...,2011,218000,diesel,ročni

Volkswagen,Touareg R line,2008,300000,diesel,avtomatski

Volkswagen,Passat Variant  TDI BMT XENON...,2016,170000,diesel,ročni

Volkswagen,Passat CC 2.0 TDI DPF,2009,131000,diesel,ročni

Volkswagen,Golf Pacific 1.9 TDI,2004,349000,diesel,ročni

Volkswagen,Passat Variant 1.9 TDI Bluemo...,2008,278000,diesel,ročni

